vessel_id,eta,cargo_volume_teu,priority,requested_berth_type
MSC-AURORA,2025-09-01 05:00:00,3400,priority,deep_water
EVER-CROWN,2025-09-01 05:30:00,2100,standard,general
YANG-MING-5,2025-09-01 05:45:00,4800,critical,deep_water
CMA-TITAN,2025-09-01 06:00:00,1650,standard,general
COSCO-DELTA,2025-09-01 06:15:00,3900,priority,deep_water
ONE-FALCON,2025-09-01 06:30:00,920,standard,shallow_water
HMM-JADE,2025-09-01 07:00:00,5100,critical,deep_water
APL-NEPTUNE,2025-09-01 07:20:00,2300,standard,general
ZIM-ROVER,2025-09-01 07:45:00,3600,priority,deep_water
PIL-AMBER,2025-09-01 08:00:00,780,standard,shallow_water
MAERSK-STAR,2025-09-01 08:30:00,4200,critical,deep_water
OOCL-PEARL,2025-09-01 09:00:00,1980,standard,general
NYK-THUNDER,2025-09-01 09:30:00,3100,priority,deep_water
HAPAG-KITE,2025-09-01 10:00:00,1100,standard,general
MOL-BISON,2025-09-01 10:30:00,2700,standard,general
EVERGREEN-X,2025-09-01 11:00:00,4700,critical,deep_water
MSC-BALTIC,2025-09-01 11:30:00,860,standard,shallow_water
COSCO-RIO,2025-09-01 12:00:00,3300,priority,deep_water
CMA-RAPTOR,2025-09-01 12:30:00,2050,standard,general
ONE-PANDA,2025-09-01 13:00:00,1450,standard,general
YANG-MING-9,2025-09-01 14:00:00,4950,critical,deep_water
HMM-TOPAZ,2025-09-01 14:30:00,2800,priority,deep_water
APL-SOLAR,2025-09-01 15:00:00,1700,standard,general
ZIM-FALCON,2025-09-01 15:30:00,3500,priority,deep_water
MAERSK-MOON,2025-09-01 16:00:00,670,standard,shallow_water
PIL-CRATER,2025-09-01 17:00:00,2200,standard,general
OOCL-CREST,2025-09-01 17:30:00,4300,critical,deep_water
NYK-STORM,2025-09-01 18:00:00,3000,priority,deep_water
HAPAG-LYNX,2025-09-01 19:00:00,1850,standard,general
MOL-CONDOR,2025-09-01 20:00:00,2600,standard,general
