vessel_id,eta,cargo_volume_teu,priority,requested_berth_type
NORDIC-PINE,2025-11-20 06:00:00,2100,standard,general
BALTIC-WOLF,2025-11-20 06:30:00,3400,priority,deep_water
ARTIC-BLAZE,2025-11-20 07:00:00,4600,critical,deep_water
FJORD-EAGLE,2025-11-20 07:30:00,1800,standard,general
POLAR-RUSH,2025-11-20 08:00:00,950,standard,shallow_water
TUNDRA-MAX,2025-11-20 08:30:00,3900,priority,deep_water
GLACIER-01,2025-11-20 09:00:00,5000,critical,deep_water
AURORA-SEA,2025-11-20 09:30:00,1350,standard,general
BOREAL-ONE,2025-11-20 10:00:00,2700,priority,deep_water
ICEPACK-LG,2025-11-20 10:30:00,720,standard,shallow_water
SNOWCAP-XX,2025-11-20 11:00:00,4300,critical,deep_water
PERMAFROST,2025-11-20 11:30:00,2000,standard,general
BLIZZARD-C,2025-11-20 12:00:00,3100,priority,deep_water
FROSTBITE-,2025-11-20 13:00:00,1600,standard,general
SLEET-FAST,2025-11-20 13:30:00,850,standard,shallow_water
HAILSTONE1,2025-11-20 14:00:00,4800,critical,deep_water
WHITEOUT-V,2025-11-20 14:30:00,2400,standard,general
COLDFRONT-,2025-11-20 15:00:00,3600,priority,deep_water
SUBZERO-XX,2025-11-20 16:00:00,1950,standard,general
CRYOGEN-01,2025-11-20 16:30:00,5200,critical,deep_water
ABSOLUTE-0,2025-11-20 17:00:00,3000,priority,deep_water
KELVIN-SEA,2025-11-20 17:30:00,1100,standard,shallow_water
CELSIUS-XX,2025-11-20 18:00:00,2600,standard,general
FAHRENHEIT,2025-11-20 18:30:00,4100,critical,deep_water
RANKINE-01,2025-11-20 19:00:00,1700,standard,general
DELISLE-GO,2025-11-20 20:00:00,3300,priority,deep_water
NEWTON-RUN,2025-11-20 21:00:00,2200,standard,general
REAUMUR-XL,2025-11-20 22:00:00,4700,critical,deep_water
LEIDEN-VES,2025-11-20 23:00:00,1450,standard,general
RÖMER-FAST,2025-11-21 00:00:00,2850,priority,deep_water
