vessel_id,eta,cargo_volume_teu,priority,requested_berth_type
SHIELD-ONE,2025-10-10 03:00:00,5800,critical,deep_water
SHIELD-TWO,2025-10-10 03:30:00,5500,critical,deep_water
VANGUARD-A,2025-10-10 04:00:00,4900,critical,deep_water
VANGUARD-B,2025-10-10 04:15:00,5100,critical,deep_water
TITAN-PRIME,2025-10-10 05:00:00,4400,critical,deep_water
ATLAS-HEAVY,2025-10-10 05:30:00,4700,critical,deep_water
HERMES-PRO,2025-10-10 06:00:00,3800,priority,deep_water
ARES-CARGO,2025-10-10 06:30:00,4100,priority,deep_water
ZEUS-BULK,2025-10-10 07:00:00,3600,priority,deep_water
POSEIDON-X,2025-10-10 07:30:00,3950,priority,deep_water
APOLLO-MAX,2025-10-10 08:00:00,3300,priority,deep_water
HADES-FAST,2025-10-10 08:30:00,3700,priority,deep_water
KRONOS-001,2025-10-10 09:00:00,2200,standard,general
KRONOS-002,2025-10-10 09:30:00,1950,standard,general
HELIOS-RUN,2025-10-10 10:00:00,2600,standard,general
SELENE-CAR,2025-10-10 10:30:00,1400,standard,shallow_water
DIONYSUS-V,2025-10-10 11:00:00,1800,standard,general
DEMETER-XX,2025-10-10 11:30:00,900,standard,shallow_water
HYPNOS-LTD,2025-10-10 12:00:00,2100,standard,general
EROS-TRANS,2025-10-10 13:00:00,1650,standard,general
NIKE-SWIFT,2025-10-10 14:00:00,3200,priority,deep_water
TYCHE-PORT,2025-10-10 14:30:00,4500,critical,deep_water
IRIS-CARGO,2025-10-10 15:00:00,2800,priority,deep_water
NEMESIS-XX,2025-10-10 15:30:00,5300,critical,deep_water
MOIRA-GULF,2025-10-10 16:00:00,1100,standard,shallow_water
ANANKE-SEA,2025-10-10 17:00:00,2300,standard,general
AETHER-ONE,2025-10-10 18:00:00,4200,critical,deep_water
PONTUS-MAX,2025-10-10 18:30:00,3500,priority,deep_water
NYX-VESSEL,2025-10-10 19:00:00,1750,standard,general
GAIA-LINER,2025-10-10 20:00:00,2900,priority,deep_water
