vessel_id,eta,cargo_volume_teu,priority,requested_berth_type
VSL-001,2025-07-15 04:30:00,1850,standard,general
VSL-002,2025-07-15 06:00:00,3200,priority,deep_water
VSL-003,2025-07-15 07:45:00,980,standard,general
VSL-004,2025-07-15 08:15:00,4500,critical,deep_water
VSL-005,2025-07-15 09:30:00,2100,standard,general
VSL-006,2025-07-15 10:00:00,760,standard,shallow_water
VSL-007,2025-07-15 11:20:00,3800,priority,deep_water
VSL-008,2025-07-15 12:45:00,1400,standard,general
VSL-009,2025-07-15 13:00:00,2950,priority,deep_water
VSL-010,2025-07-15 14:30:00,620,standard,shallow_water
VSL-011,2025-07-15 15:00:00,5200,critical,deep_water
VSL-012,2025-07-15 16:15:00,1750,standard,general
VSL-013,2025-07-15 17:30:00,3100,priority,deep_water
VSL-014,2025-07-15 18:00:00,880,standard,shallow_water
VSL-015,2025-07-15 19:45:00,2400,standard,general
VSL-016,2025-07-15 21:00:00,4100,critical,deep_water
VSL-017,2025-07-15 22:30:00,1600,standard,general
VSL-018,2025-07-16 00:15:00,700,standard,shallow_water
VSL-019,2025-07-16 01:30:00,3500,priority,deep_water
VSL-020,2025-07-16 02:45:00,2200,standard,general
VSL-021,2025-07-16 04:00:00,4800,critical,deep_water
VSL-022,2025-07-16 05:30:00,1250,standard,general
VSL-023,2025-07-16 07:00:00,2750,priority,deep_water
VSL-024,2025-07-16 08:30:00,960,standard,general
VSL-025,2025-07-16 10:00:00,540,standard,shallow_water
VSL-026,2025-07-16 11:15:00,3300,priority,deep_water
VSL-027,2025-07-16 12:45:00,1900,standard,general
VSL-028,2025-07-16 14:00:00,4600,critical,deep_water
VSL-029,2025-07-16 15:30:00,2050,standard,general
VSL-030,2025-07-16 17:00:00,3050,priority,deep_water
